#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	nobc+sl-time	nobc+sl-error	safelib-time	safelib-error	
aaforest_big_random_append	4943145.743589744	116131.73862863077	4518100.769230769	17934.416963440446	4605891.102564103	52081.34921929635	5041502.846153846	23922.3811465314	
aatree_big_random_insert_delete	5477235.051282051	12810.313789364629	5041553.692307692	19476.107740661075	5082952.641025641	10191.221540449507	5501183.615384615	12825.155528852292	
btreemap_big_random_insert_delete	2368398.923076923	5096.884605952006	2395396.282051282	10380.508186138979	2539808.564102564	11139.344106260733	2524385.9743589745	14357.490053639884	
dynconn_big_insert_delete	5100606.307692308	51968.38033628833	4680619.564102564	50345.3153743556	4970741.051282051	88908.01066903688	5195750.025641026	71176.6401522179	
dynconn_big_insert_delete_ext_weight	5747066.974358974	59261.057015022976	5446741.820512821	58433.98904083303	5618324.256410256	79126.55003892473	5893524.461538462	58386.91896783229	
hashmap_big_random_insert_delete	585302.8461538461	3035.8400395215376	591995.3333333334	4264.145481073633	730592.4102564103	28752.84423364056	733669.8717948718	11217.271340076284	
waaforest_big_random_append	6351244.128205128	41605.42395432909	5767893.948717949	34819.25514450134	5840995.717948718	56505.85047311189	6380417.051282051	27104.979772339037	
waaforest_big_random_append_bitboard_weight	7079745.461538462	126353.045942575	6592377.897435897	142175.681880894	6748809.487179487	143526.7798333355	7235705.769230769	134784.08027570343	
waaforest_big_random_append_combined_weight	7114028.051282051	107780.43731776015	6425762.538461538	106561.1775558748	6538318.435897436	113842.88159514814	7232950.871794872	96021.56372884312	
waaforest_big_random_append_empty_weight	7400920.974358974	60186.951075532765	6740966.692307692	35203.27385281953	6771163.58974359	37804.83560558123	7413446.487179487	44891.2219064021	
waaforest_big_random_append_usize_2_weight	6280203.307692308	64083.01044904974	5591898.820512821	62701.40209566813	5674700.564102564	100465.28057117986	6415065.615384615	86059.57805381565	
waaforest_big_random_append_usize_bool_weight	6739407.512820513	43393.84189317461	6233433.128205128	57910.68237233711	6296945.051282051	39594.54324806654	6803141.666666667	62438.69983712368	
