#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	nobc+sl-time	nobc+sl-error	safelib-time	safelib-error	
BollingerBands	84376.97435897436	13744.856415078966	77285.1282051282	12541.36110713111	78197.35897435897	13684.118984573246	79990.97435897436	13470.944783433599	
EfficiencyRatio	87968.92307692308	14272.332015053777	84574.15384615384	14019.137044180388	84011.41025641025	13658.576927258693	84070.28205128205	13683.980158262766	
ExponentialMovingAverage	21183.30769230769	3436.440974611977	21181.4358974359	3436.0845247571365	21180.79487179487	3435.97975561547	21180.69230769231	3435.963584131719	
FastStochastic	157017.02564102566	25472.17063474364	148122.4871794872	24029.854466594945	149554.2564102564	24286.996407509025	153948.5641025641	25638.37489229155	
Maximum	72622.20512820513	11781.278390820962	73940.23076923077	11999.17098303374	73868.97435897436	11985.956298266648	73499.1282051282	11932.426239366512	
Minimum	74184.07692307692	12034.392141892838	74273.46153846153	12053.235273411576	74001.61538461539	12008.845017192236	74871.64102564103	12208.44168532405	
MoneyFlowIndex	115462.10256410256	18794.732161303113	113332.61538461539	18391.509644559286	113344.1282051282	18395.732748182058	113466.82051282052	18419.468469838484	
MovingAverageConvergenceDivergence	23085.0	3744.898519730131	23427.641025641027	3809.753578996399	23344.666666666668	3787.05987936744	23335.666666666668	3785.5787711364073	
OnBalanceVolume	45408.769230769234	7367.257710811724	43704.282051282054	7099.423714238588	45311.717948717946	7454.260822350299	45222.02564102564	7413.412372136231	
RateOfChange	26283.5641025641	4267.153238250458	23927.410256410258	3915.3656915231227	24532.46153846154	4052.9844517922133	25234.4358974359	4219.18348398501	
RelativeStrengthIndex	41362.717948717946	6710.495235454866	42111.51282051282	6832.514391971838	41719.4358974359	6777.008733511858	40757.666666666664	6734.966774453416	
SimpleMovingAverage	60654.5641025641	9839.554744968098	59840.02564102564	9707.356133464284	59829.179487179485	9705.717027559911	59795.02564102564	9700.231222428325	
SlowStochastic	171939.23076923078	27892.559157082753	164731.12820512822	26729.873407260628	165094.89743589744	26787.356443297085	168974.4358974359	27930.186320304354	
StandardDeviation	66620.02564102564	10810.875873544597	66141.10256410256	10729.720520638879	66409.41025641025	10839.294174007091	66365.58974358975	10769.75724726528	
TrueRange	58622.64102564102	9600.906232565863	57321.666666666664	9521.862676892943	58725.179487179485	10094.387211362191	58930.333333333336	9655.843707796937	
