#	bench-name	unmod-time	unmod-error	nobc-time	nobc-error	nobc+sl-time	nobc+sl-error	safelib-time	safelib-error	
read_single_image	77963197.61538461	18189302.856588185	76434692.05128205	17840648.679332267	84495603.94871795	21685305.78578409	87084086.66666667	23431225.808474597	
read_single_image_from_buffer	74547237.92307693	17367825.552351955	73172326.61538461	17058688.816105027	88000293.58974358	27252023.545178864	89792479.6923077	28142746.927269645	
read_single_image_non_parallel_zips	253511820.94871795	58941223.00776013	239840148.64102563	58432993.7518906	327686806.9230769	127565626.02782667	344070467.0	140368152.11088055	
read_single_image_rle	36295839.48717949	8514386.866252871	36196110.666666664	8475308.761744238	44635799.256410256	14457362.947853314	45151160.71794872	14323015.774113039	
read_single_image_uncompressed	21378099.35897436	5470572.630042918	20875714.128205128	5030072.001842611	27308444.384615384	10060372.134742614	28219874.871794872	10468403.79027823	
read_single_image_uncompressed_from_buffer	16912634.435897436	3933619.972277221	16937251.230769232	3939494.5233121514	29677348.487179488	16514038.639212549	31398769.846153848	17682415.438098773	
read_single_image_zips	254020764.56410256	59059746.75894856	240355101.74358973	58554757.14931657	327917696.71794873	127432225.08866243	344478959.53846157	140284333.3227492	
read_full	31758020.769230768	7520388.819563354	31838459.53846154	7520027.921281048	40115749.58974359	13804525.716887847	40505723.692307696	13657248.072042262	
read_rgba	69481427.97435898	16203798.20104068	75178963.66666667	17560582.933539893	83021172.56410256	21569574.31919717	82970847.97435898	21300854.626065467	
read_simple	31883466.743589744	7551458.15363853	31944463.282051284	7545167.0250610355	41281380.84615385	14898495.308290247	43837033.692307696	16992345.110975273	
write_single_image	162200281.94871795	37720376.930566266	121353197.94871795	28283354.667062964	161457559.15384614	60210742.10483308	168925712.8974359	66091639.42510625	
write_single_image_parallel	43083703.15384615	10031373.87430181	42712927.333333336	9945306.795531668	57830415.79487179	22249477.6730674	58847232.461538464	22771923.853288807	
write_single_image_uncompressed	28632134.282051284	6682099.65249104	28941671.769230768	6773965.090525949	37086105.20512821	13098101.938108895	37560628.07692308	13170073.96717932	
